input,ground_truth,sft_output,edit_dist
"Fix grammar: Dear Bob: I think, If you enjoy your new job you must stay here, but you have to do exercise within your free time, and you must do too a good diet, because upon you doing not did any exercises and not do a diet you will having problems in your health, try to do it, and including you can't do it you must leaving your new job, because if you keep all the day sittin on a chair you will have a lot of problem with your health, please, trying to do more exercise and a good diet.","Dear Bob, I think if you enjoy your new job you must stay there, but you have to do exercise in your free time, and you must have a good diet too, because if you do not do any exercise and do not have a good diet, you will have problems with your health, try to do it, and if you can't do it you must leave your new job, because if you keep sitting on a chair all day you will have a lot of problems with your health, please try to do more exercise and have a good diet.","Dear Bob: I think, If you enjoy your new job, you must stay here, but you have to do exercise within your free time, and you must do too a good diet, because upon you doing not do any exercises and not do a diet you will have problems in your health, try to do it, and including you can't do it, and you must leave your new job, because if you keep all the day sitting on a chair, you will have a lot of problem with your health, please, trying to do more exercise and a good diet.",86
"Fix grammatical mistakes in this sentence: addicts are people of real problems and inflicted by a disease they are members beyond our community that desperately needing help, they are someone's mother, fathers, sister and our brothers who need our help.","Addicts are people with real problems who are affected by a disease. They are members of our community who desperately need help; they are mothers, fathers, sisters, or brothers who need our help.","addicts are people of real problems and inflicted by a disease they are members of beyond our community that desperately need help, they are someone's mother, fathers, sisters, and our brothers who need our help.",44
"Fix grammaticality of the sentence: First of all it will helping in the economic aspect, now beyond internet even small shops are able to sell their products to anyon in the worlds, nowadays people have access to anything and anywhere with no restrictions, imagining if you are a arts dealer, if you are buying a souvenir from India for instances, you would are estimulating the economy in his countries in a small scale, of cause, and for your shop this souvenir would be sold easely.","First of all it will help economically, now with the internet even small shops are able to sell their products to anyone in the world, nowadays people have access to anything anywhere with no restrictions, imagine if you were an art dealer, and you were buying a souvenir from India for instance, you would be estimulating the economy of that country, on a small scale, of course, and for your shop this souvenir would be sold easely.","First of all, it will helping in the economic aspect, now beyond the internet, even small shops are able to sell their products to anyon in the worlds, nowadays, people have access to anything and anywhere with no restrictions, imagining if you are an arts dealer, if you are buying a souvenir from India for instances, you would be estimating the economy in his countries in a small scale, of cause, and for your shop this souvenir would be sold easely.",56
"Fix grammar in the sentence: You may contact me by phone or email, and I will be following up within the next two week between this positions.",You may contact me by phone or email. I will follow up with you within the next two weeks about this position.,"You may contact me by phone or email, and I will be following up within the next two weeks.",38
"Make the sentence grammatical: In the other hand, is right say that it has creat impact in different ways, such including corruption and piracy, from the last 10 year the numbers behind corruption and piracy has been increased dramatically, which means if the goverment towards different nation must acts now to make a final point until it, some companies has lost their worth becouse of the criminals organizon which are deterioriate other citizens work under the way to makes their product unvalued.","On the other hand, it is right to say that it has created an impact in different ways, such as corruption and piracy, from the last 10 years the amount of corruption and piracy has increased dramatically, which means the governments of different nations must act now to make a final point on it, because some companies have lost their worth because of the criminals organizon which are deterioriate other citizens work in the way to make their products unvalued.","In the other hand, is right, it has a creat impact in different ways, such including corruption and piracy, from the last 10 years, the numbers behind corruption and piracy have been increased dramatically, which means if the goverment is towards different nations, must act now to make a final point until it, some companies have lost their worth, becouse of the criminals organizon which are deteriorate other citizens work under the way to make their product unvalued.",83
"Fix grammar in this sentence: However the proportion through the graduates who studied Arts & Social Science and Science being more than 10 time of those who studied Education self-employed graduates being few and unemployed graduates were 5% along the similar science major, however the graduates out Education who were unemployed remained from just 1% To summing up, the graduate who studied Education were more inployed than those who studied Arts & Social Science and Science, however the graduates of the kind of sciences tended to study more","However the percentage of the graduates who studied Arts & Social Science and Science was more than 10 times that of those who studied Education self-employed graduates were few and unemployed graduates amounted to 5% of the social science majors, however the of graduates of Education who were unemployed remained at just 1%. To sum up, the graduates who studied Education had a higher level of employment than those who studied Arts & Social Science and Science, however the graduates of the science subjects tended to study more","However, the proportion through graduates who studied Arts & Social Science and Science being more than 10 times the those who studied Education self-employed graduates being few and unemployed graduates were 5% along the similar science major, however the graduates out of Education who were unemployed remained from just 1% to summing up, the graduate who studied Education were more inployed than those who studied Arts & Social Science and Science, however the graduates of the kind of sciences tended to study more",102
"Fix grammatical mistakes in this sentence: Again, we cannot say ideas to be more important than language skill, and ideas do not exist if we cannot transfer them to the other and translated them despite understandable form.","Again, we cannot say that ideas are more important than language skills, and ideas do not exist if we cannot transfer them to others and translate them into an understandable form.","Again, we cannot say ideas to be more important than language skills, and ideas do not exist if we cannot transfer them to the other and translated them despite the understandable form.",24
"Fix grammar: We provide bi-weekly seminars without crucial health issues affected our members, and we has saw huge improvement especially upon the areas of having an advance directive","We provide bi-weekly seminars on crucial health issues affecting our members, and we have seen a huge improvement, especially in the area of having an advanced directive.","We provide bi-weekly seminars without crucial health issues affecting our members, and we have seen a huge improvement in areas of having an advance directive.",24
"Fix disfluencies in the sentence: For example some of volunteer climing the pyramids but Egypt although they difficult after the lacke of oxygens of top pyramid, many times youth tried to climb the pyramids and cannot breath well causes through lake of oxygen and crash of stones and exposed themselves of risks from many years happen accidents out this the emplence comes but the equipments not over qualified to deal with this accident one of volanteer climbs the pyramides and UNKNOWN.","For example, some of the volunteers climbing the pyramids in Egypt although they difficult because of the lack of oxygen at the top the pyramids, many times young people try to climb the pyramids and cannot breathe well because of the lack of oxygen and crash of stones and expose themselves to risks from many years accidents like this have happened the ambulance comes but the equipment is not heighy qualified to deal with these accidents one of volanteer climb the pyramides and UNKNOWN.","For example, some of the volunteer climbing the pyramids but Egypt although they difficult after the lacke of oxygens of top pyramid, many times youth tried to climb the pyramids and cannot breath well causes through the lake of oxygen and crash of stones and exposed themselves of risks from many years, happen accidents out this the emplence comes but the equipments not over qualified to deal with this accident one of the volunteers climbs the pyramids and UNKNOWN.",99
Fix grammar in this sentence: Be careful man!,"Be careful, man!",Be careful man!,1
Fix grammaticality in this sentence: participants who are anonymous or identifiable to recipients will behaving differently in the dictator game.,Participants behave differently in the dictator game when they are anonymous to the recipients versus when they are identifiable.,Participants who are anonymous or identifiable to recipients will behave differently in the dictator game.,84
"Fix grammaticality: I think you should choose a small school, in my opinions, because, everyone knows each other and you can make a lots during friends right there, you can meet interesting people, I think been much better, but if you decide the schools in the centre of the town you can enjoying it more, at the same ways you can make a lot through friendsand the most important thing is that everything is before you can going near the shops and about the movies, that could be really great, write me again for you choice.","You should choose a small school, in my opinion, because everyone knows each other and you can make a lot of friends right there, and you can meet interesting people. I think that is much better, but if you decide on the school in the centre of the town you can enjoy it more, and in the same way you could make a lot of friendsand the most important thing is that everything is nearby and you can go to the shops and to the movies, that could be really great, write to me again with your choice.","I think you should choose a small school, in my opinion, because, everyone knows each other and you can make a lot of during friends, right there, you can meet interesting people, and I think you should choose a small school, in my opinion, because, everyone knows each other and you can make a lot of during friends, right there, you can meet interesting people, and I think you should choose a small school, in my opinion, because, everyone knows each other and you can make a lot of during friends, right there, you can meet interesting people, and I think you should choose a small school, in my",315
Fix grammatical errors in this sentence: Aim UH2-2.,Aim UH2-2:,Aim UH2-2.,1
"Fix grammaticality: The diagram shows the processes It is divided in three principal processes, the first one been the natural processes since water; that include the evaporation causing for the heat of the sun, making cloud from the sky for the condensations about the waters and then returning concerning the earth among rain The second ones starts when it being rains and the water returns to the earths but behind this cases it will are collected in reservoir.","The diagram shows the process. It is divided into three principal processes, the first one is the natural process of water; that includes the evaporation caused by the heat of the sun, making clouds in the sky from the condensation from the water and then returning to the earth as rain. The second one starts when it is raining and the water returns to the earth but in this case it will be collected in a reservoir.","The diagram shows the processes It is divided into three principal processes, the first one was the natural processes since water; that includes the evaporation causing for the heat of the sun, making clouds from the sky for the condensation about the waters and then returning concerning the earths, and the second ones starts when it is rains and the water returns to the earths, but behind this cases it will be collected in reservoir.",57
"Fix disfluencies in the sentence: Developing yourself in these areas will enabled you to become a better leader, influence more people, and make more sale all from the right foundation.","Developing yourself in these areas will enable you to become a better leader, influence more people, and make more sales, all from the right foundations.","Developing yourself in these areas will enable you to become a better leader, influence more people, and make more sales all from the right foundation.",2
"Fix grammaticality of the sentence: There is no liberty through this society as those in powers show in their wording such convictions after the ranks and files has no clues as to question, or they fear for their life not to questioned.","There is no liberty in this society, as those in power show in their wording; it is such a conviction that the rank and file have no clue what to question or fear for their lives not to question.","There is no liberty through this society as those in the powers show in their words such convictions after the ranks and files have no clue as to the question, or they fear for their life not to questioned.",48
Make the sentence grammatical: The patient had an emergent tracheostomies placed along the bedside.,The patient had an emergency tracheostomy placed at the bedside.,The patient had an emergent tracheostomy placed along the bedside.,6
"Fix grammatical mistakes in this sentence: You and your family will have oportunities easyer than behind the countryside along the other hand, a small city is more peacefully, relaxing, don't have to much traffic jams and people looks to be more friendly Finally you had to talk with your families and asks them when they would like to live, because they opinions is what really mattered.","You and your family will have more opportunities easyer than in the countryside. On the other hand, a small city is more peaceful and relaxing, it doesn't have too many traffic jams and the people seem to be more friendly. Finally, you have to talk with your family and ask them where they would like to live, because their opinion is what really matters.","You and your family will have oportunities easier than behind the countryside along the other hand, a small city is more peaceful, relaxing, and don't have to much traffic jams, and people look to be more friendly, and finally, you had to talk with your families and asked them when they would like to live, because they opinions is what really matters.",56
"Make the sentence grammatical: At the ends of the day, even humany being needs peaces and prospority for the lives, and to achive the goals one should have a enough money & finanicial resources, working despite money are only is above worked above a robots, Great people like Gandhiji, Churchill, Albert never worked for the motivations of any financial goals, But they worked hard near the better prospects of future generations, and humanities.","' At the end of the day, every human being needs peace and prosperity in life, and to achieve one's goals one should have enough money and financial resources, working for money only is like working as a robot. Great people like Gandhiji, Churchill, and Albert never worked for the achievement of any financial goals, but they worked hard for better prospects for future generations, and for humanity.","At the ends of the day, even humany being needs peaces and prospority for the lives, and to achive the goals one should have, and to achive the goals one should have a enough money and financial resources, working despite money are only above worked above a robots, Great people like Gandhiji, Churchill, Albert never worked for the motivations of any financial goals, but they worked hard near the better prospects of future generations, and humanities.",114
"Fix grammaticality of the sentence: I thinking you should go on holidays for your friend before you can has more fun without upon your parents In fact with your friends you can did what you are keen on: swimming, going shopping and going to the disco, instead of having a boring holiday with your parent, who want you to did the same thing they do I hope you will choose what is the best by you","I think you should go on holiday with your friends because you can have more fun than with your parents. In fact with your friends you can do what you are keen on: swimming, going shopping and going to clubs, instead of having a boring holiday with your parents, who want you to do the same things they do. I hope you will choose what is best for you.","I think you should go on holidays for your friend before you can have more fun without upon your parents. Instead, you can do what you are keen on, which is swimming, going shopping, and going to the disco, instead of having a boring holiday with your parents.",147
"Make the sentence grammatical: the group in the bottoms started to thought about opening a small hole in the side of the ship and thought "" we'll getting some water from this hole and desalinated it around effects the other group on top "", and then they started drilling and began to bring tool from the top out the ships, when the group on top noticed what the bottoms groups were does, they stops them from drillings and suggested to work together on got water within other source in orders to survives, so they worked together and both groups succeded.","The group in the bottom started to think about opening a small hole in the side of the ship and thought "" we'll get some water from this hole and desalinate it without effecting the other group on top "", and then they started drilling and began to bring tools from the top of the ship, when the group on top noticed what the bottom group were doing, they stopped them from drilling and suggested working together on getting water from another source in order to survive, so they worked together and both groups succeeded.","The group in the bottoms started to think about opening a small hole in the side of the ship and thought "" we'll getting some water from this hole and desalinated it around effects the other group on top "", and then they started drilling and began to bring a tool from the top out the ships, when the group on top noticed what the bottoms groups were did, they stopped them from drilling and suggested to work together on getting water within other source in orders to survive, so they worked together and both groups succeded.",41
Fix grammar in the sentence: gibs colonies back to europeans,Give colonies back to Europeans.,Gibs colonies back to Europe.,5
"Fix grammar in this sentence: In facts, this reaction, is the first step of Hydro-electric power creations.","In fact, this reaction is the first step of hydro-electric power creation.","In facts, this reaction is the first step in Hydro-electric power creation.",4
"Fix grammatical mistakes in this sentence: Well, about what you told me in your last letter, I would chosen the big schools despite the centres of town, because I really like large schools and you can also meets a lot since people, I wouldn't choose the other school because it being out the countryside and it can were hard to get there, specially along winter.","Well, about what you told me in your last letter, I would choose the big school in the centre of town, because I really like large schools and you can also meet a lot of people. I wouldn't choose the other school because it is in the countryside and it can be hard to get there, especially in winter.","Well, about what you told me in your last letter, I would choose the big schools despite the centres of town, because I really like large schools and you can also meet a lot since people, I wouldn't choose the other school because it being out the countryside and it can be hard to get there, especially along winter.",25
Fix grammatical mistakes in this sentence: So with all this tool and Technology during place I would say the believe were changing to been a facts across all this young people can go any where through the internet during all filds so if you were looking under a news you can Acces many special news websits are also in sports or education or along any other filds you are interested in.,"So with all these tools and technology in place I would say the belief is changing to become a fact as all these young people can go anywhere through the internet in all fields, so if you are looking for news you can Acces many special news websits's and also in sports or education or in any other fields you are interested in.","So with all this tool and Technology during the place, I would say the belief was changing to be a facts across all this young people can go anywhere through the internet during all filds, so if you were looking under a news you can access many special news websits are also in sports or education or along any other filds you are interested in.",50
"Fix grammatical errors in this sentence: Other side after you can goes been my city, Qaeguipe, because it has, for me, the best church between all South America, in the countrysides you can visit Colrea's Canon, , it been the largest canon in the wold it really ameizing and, if you liking the animal, you can see the condor, the biggest birth among the worlds If you like the beach you can gone to 7 UNKNOWN UNKNOWN beautifull.","The other place that you can go to is my city, Qaeguipe, because it has, for me, the best church in all of South America, in the countryside you can visit Colrea's Canon, it is the largest canon in the world, it is really amazing and, if you like animals, you can see the condor, the biggest bird in the world. If you like beaches, you can go to 7 UNKNOWN UNKNOWN beautiful.","Other side after you can go, I can go, for me, the best church between all South America, in the countrysides, you can visit Colrea's Canon, , it was the largest canon in the wold, it really amezing and if you liking the animal, you can see the condor, the biggest birth among the worlds, if you like the beach, you can go to 7 UNKNOWN UNKNOWN beautifull.",92
"Fix grammatical errors in this sentence: since retailers, Mario being a new channel to promoting categories and creating the meaningful customer experiences.","For retailers, Mario is a new channel for promoting categories and creating a meaningful customer experience.","Since retailers, Mario, being a new channel to promoting categories and creating meaningful customer experiences.",15
"Fix grammaticality in this sentence: This lady was the Countess Amelia, whose picture my sister-in-law wished to removes from the drawing-room in Park Lane; and her husband was James, fifth Earl about Burlesdon and twenty-second Baron Rassendyll, both in the peerage of England, and a Knight along the Garter.","This lady was the Countess Amelia, whose picture my sister-in-law wished to remove from the drawing-room in Park Lane, and her husband was James, fifth Earl of Burlesdon and twenty-second Baron Rassendyll, both in the peerage of England, and a Knight of the Garter.","This lady was the Countess Amelia, whose picture my sister-in-law wished to remove from the drawing-room in Park Lane; and her husband was James, fifth Earl about Burlesdon and twenty-second Baron Rassendyll, both in the peerage of England, and a Knight along the Garter.",9
"Fix grammaticality: I had thrown myself on a pallets by the window, and was looking out despite the black water; Johann, the keepers, still paled from his wound, but not much hurt besides, had brought me supper.","I had thrown myself on a pallet by the window and was looking out on the black water; Johann, the keeper, still pale from his wound but not much hurt besides, had brought me supper.","I had thrown myself on a pallets by the window, and was looking out despite the black water; Johann, the keepers, still looked at me, but not much hurt, had brought me supper.",34
"Fix grammatical errors: The articles further explaining the religious conflict between the Jew and the Christians around the Middle East by draws references from the Quran and the Bible (Holdstock, 2003).","The article further explains the religious conflict between the Jews and the Christians in the Middle East by drawing references from the Quran and the Bible (Holdstock, 2003).","The articles further explaining the religious conflict between the Jews and the Christians around the Middle East by drawing references from the Quran and the Bible (Holdstock, 2003).",9
"Fix grammaticality in this sentence: Well we can see this as positive way following development, so now if we would liking on example to buys a German car we don't have to travel plus germany and if we want a persian carpet we won't need to traveled during Iran, around that is making things easy to people and this is against the mean time a commercial and a cultural exchange, and with that companies did businesses and make profit and people exchange idea and culture without traveling far from home, nowdays we can eat chineese or indian, italian or French while we are in London plus travelling, and we can read the books about other cultures and from other countries with different language just buying them on the internet or even maybe we can finding them along our book shop within having to spend a fortunes and travel abrod to get this books.","Well, we can see this as a positive development, because now if we would like, for example, to buy a German car we don't have to travel to Germany and if we want a Persian carpet we won't need to travel to Iran, so that is making things easy for people and there is at the same time a commercial and a cultural exchange, and with that companies do business and make profits and people exchange ideas and cultures without travelling far from home, nowdays we can eat Chinese or Indian, Italian or French food when we are in London, without travelling, and we can read books about other cultures and from other countries with different languages by just buying them on the Internet or maybe we can even find them in our bookshops without having to spend a fortune and travel abroad to get these books.","Well, we can see this as a positive way, so now if we would like to buy a German car, we don't have to travel, plus germany and if we want a persian carpet, we won't need to travel, and this is against the mean time, a commercial, and a cultural exchange, and with that companies did business and made profit, and people exchange idea and culture without traveling far from home, nowdays we can eat chineese or indian, italian or French, while we are in London, plus traveling, and we can read the books about other cultures and from other countries with different",291
"Fix grammaticality in this sentence: The collective idea of HIV/AIDS transmission is they contract it like their clients, whereas it is transmitted mostly by the sexual relations between partner.","The collective idea of HIV/AIDS transmission is that they contract it from their clients, whereas it is transmitted mostly by the sexual relations between partners.","The collective idea of HIV/AIDS transmission is they contract it like their clients, whereas it is transmitted mostly by sexual relations between partners.",13
Fix grammaticality of the sentence: The CED believing against the Regents of the University of California (UC) operates a for-profit racketeering enterprise without which the UC institutions sell human rights guaranteed over those descendants of slaves above the 1866 Civil Rights act to nonresidential student.,The CED believes that the Regents of the University of California (UC) operate a for-profit racketeering enterprise in which the UC institutions sell human rights guaranteed to the descendants of slaves per the 1866 Civil Rights Acts to nonresidential students.,The CED believing against the Regents of the University of California (UC) operates a for-profit racketeering enterprise without which the UC institutions sell human rights guaranteed over those descendants of slaves above the 1866 Civil Rights act to nonresidential students.,28
"Fix grammatical errors: So, at the ends, in my opinions: we should encourage such travelling and mobility of people between different countries, not only around it giving them better chance of works, but also because it helping to enriched the people, the different countries and the different civilizations and increased the understanding between the people and the different countries aiming at the better relationship and the better life for the people of different country and origins.","So, in the end, in my opinion: we should encourage such travelling and mobility of people between different countries, not only because it gives them better chances of work, but also because it helps to enrich the people, the different countries and the different civilizations and increase understanding between people and different countries with the result of achieving better relationships and a better life for people of different countries and origins.","So, at the ends, in my opinions: we should encourage such travelling and mobility of people between different countries, not only around it giving them better chances of works, but also because it helping to enrich the people, the different countries and the different civilizations and increasing the understanding between the people and the different countries, and the different nations and the different civilizations and the different cultures and the different people, and the different countries and the different origins.",124
Make the sentence grammatical: dont know why i thought of side b,I don't know why I thought of side B.,Do not know why I thought of side b.,6
Fix grammaticality: The people in the community had to addresses their leader to support the community by implementing a policies to stop used anything that being polluted the earth.,The people in the communities have to address their leaders to support the communities by implementing a policy to stop using anything that is polluting the earth.,The people in the community had to address their leader to support the community by implementing policies to stop the use of anything that was polluting the earth.,24
